fibroblast	endothelial_cell	macrophage	myofibroblast_cell
ENSG00000091164	1.141	0.822	1.011	0.672199170124481
ENSG00000240230	0.244	0.21	0.317	0.215767634854772
ENSG00000183955	0.335	0.396	0.338	0.329875518672199
ENSG00000242259	0.377	0.288	0.309	0.269709543568465
ENSG00000109572	0.391	0.498	0.583	0.163900414937759
ENSG00000170027	1.69	1.395	1.699	1.12033195020747
ENSG00000173933	0.431	0.289	0.214	0.323651452282158
ENSG00000182568	0.235	0.269	0.608	0.155601659751037
ENSG00000124356	0.35	0.238	0.314	0.315352697095436
ENSG00000117868	0.942	0.844	0.615	1.40041493775934
ENSG00000089289	1.523	0.918	0.92	1.01452282157676
ENSG00000175634	0.159	0.17	0.33	0.228215767634855
ENSG00000239306	0.315	0.297	0.478	0.16804979253112
ENSG00000119523	0.317	0.179	0.262	0.147302904564315
ENSG00000153201	0.752	0.825	1.578	0.836099585062241
ENSG00000153786	0.582	0.179	0.776	0.132780082987552
ENSG00000163812	0.468	0.469	0.581	0.244813278008299
ENSG00000125817	0.337	0.397	0.465	0.441908713692946
ENSG00000173960	0.459	0.321	0.338	0.33195020746888
ENSG00000078043	0.326	0.441	1.054	0.149377593360996
ENSG00000225733	1.261	1.032	1.358	0.856846473029046
ENSG00000204256	1.915	2.344	3.083	2.13900414937759
ENSG00000131143	4.803	3.703	6.291	3.27593360995851
ENSG00000134884	2.891	3.538	1.733	2.16597510373444
ENSG00000128731	0.446	0.531	0.321	0.338174273858921
ENSG00000176095	0.251	0.314	0.348	0.242738589211618
ENSG00000263465	0.382	0.593	0.296	0.37551867219917
ENSG00000131828	0.495	0.366	0.413	0.367219917012448
ENSG00000110719	0.475	0.387	1.121	0.383817427385892
ENSG00000123908	0.896	0.603	0.913	0.865145228215768
ENSG00000134759	0.456	0.327	0.257	0.282157676348548
ENSG00000143420	1.11	1.224	1.344	0.759336099585062
ENSG00000163659	1.895	1.234	2.058	1.42738589211618
ENSG00000145779	0.049	0.197	1.318	0.184647302904564
ENSG00000180376	0.405	0.33	0.183	0.273858921161826
ENSG00000132388	0.324	0.317	0.455	0.236514522821577
ENSG00000183808	0.214	0.278	0.239	0.24896265560166
ENSG00000124193	0.989	0.789	1.053	0.639004149377593
ENSG00000088888	0.653	0.456	0.62	0.253112033195021
ENSG00000156976	4.364	3.039	3.343	3.67427385892116
ENSG00000117523	2.521	3.136	3.151	2.12033195020747
ENSG00000085365	0.423	0.54	0.595	0.29045643153527
ENSG00000156171	0.437	0.261	1.291	0.186721991701245
ENSG00000103121	0.344	0.268	0.484	0.288381742738589
ENSG00000160953	0.595	0.562	0.414	0.518672199170125
ENSG00000105821	0.446	0.352	0.419	0.255186721991701
ENSG00000025800	0.648	0.557	0.644	0.522821576763486
ENSG00000068903	0.422	0.379	0.71	0.340248962655602
