Tissue,Mixture,CellType,PerturbedVsTrueSpearman,RecoveredVsTrueSpearman,Pass_0_8
Blood,Mixture6,platelet,0.999553376702053,0.9959912462212048,True
Blood,Mixture7,erythrocyte,0.9995130177580721,0.803396841427717,True
Blood,Mixture7,classical_monocyte,0.9992154863983849,0.9535314966807051,True
Blood,Mixture7,neutrophil,0.9994943896497326,0.9230673442794028,True
Blood,Mixture7,memory_B_cell,0.9993903284150081,0.983197616957784,True
Blood,Mixture7,plasma_cell,0.9994872068339764,0.9991313590969535,True
Blood,Mixture7,platelet,0.999553376702053,0.9985164069690968,True
Blood,Mixture8,erythrocyte,0.9995130177580721,0.78216018784013,False
Blood,Mixture8,classical_monocyte,0.9992154863983849,0.9592818842976665,True
Blood,Mixture8,neutrophil,0.9994943896497326,0.8405267074152439,True
Blood,Mixture8,memory_B_cell,0.9993903284150081,0.9980736383638897,True
Blood,Mixture8,plasma_cell,0.9994872068339764,0.9982843288315684,True
Blood,Mixture8,platelet,0.999553376702053,0.9970492975763273,True
Blood,Mixture9,erythrocyte,0.9995130177580721,0.7151276368397337,False
Blood,Mixture9,classical_monocyte,0.9992154863983849,0.9755052215806315,True
Blood,Mixture9,neutrophil,0.9994943896497326,0.9170413385835389,True
Blood,Mixture9,memory_B_cell,0.9993903284150081,0.9990647051018117,True
Blood,Mixture9,plasma_cell,0.9994872068339764,0.9986389504323167,True
Blood,Mixture9,platelet,0.999553376702053,0.9959261130721252,True
Blood,Mixture10,erythrocyte,0.9995130177580721,0.6487823842089062,False
Blood,Mixture10,classical_monocyte,0.9992154863983849,0.9426474347064311,True
Blood,Mixture10,neutrophil,0.9994943896497326,0.9993682887985895,True
Blood,Mixture10,memory_B_cell,0.9993903284150081,0.9958521896781851,True
Blood,Mixture10,plasma_cell,0.9994872068339764,0.9988826450169473,True
Blood,Mixture10,platelet,0.999553376702053,0.9994565508714537,True
Blood,Mixture11,erythrocyte,0.9995130177580721,0.7501857123485299,False
Blood,Mixture11,classical_monocyte,0.9992154863983849,0.9675738068496639,True
Blood,Mixture11,neutrophil,0.9994943896497326,0.8652784545095507,True
Blood,Mixture11,memory_B_cell,0.9993903284150081,0.996737118590773,True
Blood,Mixture11,plasma_cell,0.9994872068339764,0.9992937072030983,True
Blood,Mixture11,platelet,0.999553376702053,0.9995296668573826,True
Blood,Mixture12,erythrocyte,0.9995130177580721,0.7728910307837253,False
Blood,Mixture12,classical_monocyte,0.9992154863983849,0.9604326184429061,True
Blood,Mixture12,neutrophil,0.9994943896497326,0.8484877817867508,True
Blood,Mixture12,memory_B_cell,0.9993903284150081,0.998863307580729,True
Blood,Mixture12,plasma_cell,0.9994872068339764,0.9988516084424897,True
Blood,Mixture12,platelet,0.999553376702053,0.9995224226699433,True
Blood,Mixture13,erythrocyte,0.9995130177580721,0.7767035666690223,False
Blood,Mixture13,classical_monocyte,0.9992154863983849,0.960932595153603,True
Blood,Mixture13,neutrophil,0.9994943896497326,0.928438040134223,True
Blood,Mixture13,memory_B_cell,0.9993903284150081,0.9814620413512772,True
Blood,Mixture13,plasma_cell,0.9994872068339764,0.9992535129233376,True
Blood,Mixture13,platelet,0.999553376702053,0.9993213211227784,True
Blood,Mixture14,erythrocyte,0.9995130177580721,0.6784042186793964,False
Blood,Mixture14,classical_monocyte,0.9992154863983849,0.9108225038934324,True
Blood,Mixture14,neutrophil,0.9994943896497326,0.9913272200458807,True
Blood,Mixture14,memory_B_cell,0.9993903284150081,0.9985091950141415,True
Blood,Mixture14,plasma_cell,0.9994872068339764,0.9990108528911886,True
Blood,Mixture14,platelet,0.999553376702053,0.9947413819990444,True
Blood,Mixture15,erythrocyte,0.9995130177580721,0.9995130177580721,True
Blood,Mixture15,classical_monocyte,0.9992154863983849,0.9685235905880487,True
Blood,Mixture15,neutrophil,0.9994943896497326,0.838103469933635,True
Blood,Mixture15,memory_B_cell,0.9993903284150081,0.9922634402364464,True
Blood,Mixture15,plasma_cell,0.9994872068339764,0.9990240338561436,True
Blood,Mixture15,platelet,0.999553376702053,0.9944701310010885,True
Blood,Mixture16,erythrocyte,0.9995130177580721,0.6380393371670517,False
Blood,Mixture16,classical_monocyte,0.9992154863983849,0.9913186229335319,True
Blood,Mixture16,neutrophil,0.9994943896497326,0.8689866237041872,True
Blood,Mixture16,memory_B_cell,0.9993903284150081,0.9946511990740985,True
Blood,Mixture16,plasma_cell,0.9994872068339764,0.9994639868782711,True
Blood,Mixture16,platelet,0.999553376702053,0.9848491421212167,True
Blood,Mixture17,erythrocyte,0.9995130177580721,0.8039492709423719,True
Blood,Mixture17,classical_monocyte,0.9992154863983849,0.9661596752345095,True
Blood,Mixture17,neutrophil,0.9994943896497326,0.8394858233965914,True
Blood,Mixture17,memory_B_cell,0.9993903284150081,0.9986019429514854,True
Blood,Mixture17,plasma_cell,0.9994872068339764,0.9983500420725497,True
Blood,Mixture17,platelet,0.999553376702053,0.9929888839931481,True
Blood,Mixture18,erythrocyte,0.9995130177580721,0.76494029911966,False
Blood,Mixture18,classical_monocyte,0.9992154863983849,0.9671482828817507,True
Blood,Mixture18,neutrophil,0.9994943896497326,0.926483019742499,True
Blood,Mixture18,memory_B_cell,0.9993903284150081,0.9767608725351724,True
Blood,Mixture18,plasma_cell,0.9994872068339764,0.9991556902386579,True
Blood,Mixture18,platelet,0.999553376702053,0.9995192045068853,True
Blood,Mixture19,erythrocyte,0.9995130177580721,0.7774971220590479,False
Blood,Mixture19,classical_monocyte,0.9992154863983849,0.9718055376563012,True
Blood,Mixture19,neutrophil,0.9994943896497326,0.9373447430525487,True
Blood,Mixture19,memory_B_cell,0.9993903284150081,0.9957210878468958,True
Blood,Mixture19,plasma_cell,0.9994872068339764,0.9993469291807794,True
Blood,Mixture19,platelet,0.999553376702053,0.9995323879335593,True
Blood,Mixture20,erythrocyte,0.9995130177580721,0.7936399191931188,False
Blood,Mixture20,classical_monocyte,0.9992154863983849,0.9626586520195066,True
Blood,Mixture20,neutrophil,0.9994943896497326,0.9324757999241471,True
Blood,Mixture20,memory_B_cell,0.9993903284150081,0.9755648287413383,True
Blood,Mixture20,plasma_cell,0.9994872068339764,0.9990619291303889,True
