Tissue,Mixture,CellType,PerturbedVsTrueSpearman,RecoveredVsTrueSpearman,Pass_0_8
Blood,Mixture12,classical_monocyte,0.9992154863983849,0.9507209395596022,True
Blood,Mixture12,neutrophil,0.9994943896497326,0.8068648637599184,True
Blood,Mixture12,memory_B_cell,0.9993903284150081,0.9982652265798885,True
Blood,Mixture12,plasma_cell,0.9994872068339764,0.9979227718975154,True
Blood,Mixture12,platelet,0.999553376702053,0.9995110416785812,True
Blood,Mixture13,erythrocyte,0.9995130177580721,0.7431738442908635,False
Blood,Mixture13,classical_monocyte,0.9992154863983849,0.9517482109794783,True
Blood,Mixture13,neutrophil,0.9994943896497326,0.8875973759633493,True
Blood,Mixture13,memory_B_cell,0.9993903284150081,0.9703850506276753,True
Blood,Mixture13,plasma_cell,0.9994872068339764,0.9990083623018805,True
Blood,Mixture13,platelet,0.999553376702053,0.9990508600606123,True
Blood,Mixture14,erythrocyte,0.9995130177580721,0.6240289901219609,False
Blood,Mixture14,classical_monocyte,0.9992154863983849,0.8662260051262086,True
Blood,Mixture14,neutrophil,0.9994943896497326,0.9760030524976788,True
Blood,Mixture14,memory_B_cell,0.9993903284150081,0.9977023784515745,True
Blood,Mixture14,plasma_cell,0.9994872068339764,0.9984783648970671,True
Blood,Mixture14,platelet,0.999553376702053,0.9941549321467571,True
Blood,Mixture15,erythrocyte,0.9995130177580721,0.9995130177580721,True
Blood,Mixture15,classical_monocyte,0.9992154863983849,0.9592946977089366,True
Blood,Mixture15,neutrophil,0.9994943896497326,0.7657672631031189,False
Blood,Mixture15,memory_B_cell,0.9993903284150081,0.9867639181307332,True
Blood,Mixture15,plasma_cell,0.9994872068339764,0.9982951341574907,True
Blood,Mixture15,platelet,0.999553376702053,0.9926542797415893,True
Blood,Mixture16,erythrocyte,0.9995130177580721,0.5913846785422862,False
Blood,Mixture16,classical_monocyte,0.9992154863983849,0.9870587728852289,True
Blood,Mixture16,neutrophil,0.9994943896497326,0.8062923962690838,True
Blood,Mixture16,memory_B_cell,0.9993903284150081,0.989542661738061,True
Blood,Mixture16,plasma_cell,0.9994872068339764,0.9994206889410647,True
Blood,Mixture16,platelet,0.999553376702053,0.9682387102255466,True
Blood,Mixture17,erythrocyte,0.9995130177580721,0.7820454160689994,False
Blood,Mixture17,classical_monocyte,0.9992154863983849,0.9589145137289481,True
Blood,Mixture17,neutrophil,0.9994943896497326,0.7591564625885726,False
Blood,Mixture17,memory_B_cell,0.9993903284150081,0.9978245736830912,True
Blood,Mixture17,plasma_cell,0.9994872068339764,0.9974425860824809,True
Blood,Mixture17,platelet,0.999553376702053,0.9911610822608179,True
Blood,Mixture18,erythrocyte,0.9995130177580721,0.7147062381037359,False
Blood,Mixture18,classical_monocyte,0.9992154863983849,0.9583494901935397,True
Blood,Mixture18,neutrophil,0.9994943896497326,0.880299625565142,True
Blood,Mixture18,memory_B_cell,0.9993903284150081,0.9630510272558566,True
Blood,Mixture18,plasma_cell,0.9994872068339764,0.9988211083026524,True
Blood,Mixture18,platelet,0.999553376702053,0.9995157940457727,True
Blood,Mixture19,erythrocyte,0.9995130177580721,0.72854843243662,False
Blood,Mixture19,classical_monocyte,0.9992154863983849,0.9609409751570173,True
Blood,Mixture19,neutrophil,0.9994943896497326,0.8739968235353427,True
